dataset,region,method,variant_type,tp,fp,fn,precision,recall,f1
hg008_wgs,ukb,workflow_first_rescue,snp,410,148,20,0.7347670250896058,0.9534883720930233,0.8299595141700405
hg008_wgs,ukb,workflow_first_rescue,indel,80,2,163,0.975609756097561,0.3292181069958848,0.4923076923076923
hg008_wgs,ukb,workflow_first_rescue,records,490,150,179,0.765625,0.7324364723467862,0.7486631016042781
hg008_wgs,medexome,workflow_first_rescue,snp,136,49,18,0.7351351351351352,0.8831168831168831,0.8023598820058997
hg008_wgs,medexome,workflow_first_rescue,indel,17,0,41,1,0.29310344827586204,0.4533333333333333
hg008_wgs,medexome,workflow_first_rescue,records,153,49,58,0.7574257425742574,0.7251184834123223,0.7409200968523003
hg008_wgs,ukb,refined_realignment_rescue,snp,410,19,20,0.9557109557109557,0.9534883720930233,0.9545983701979045
hg008_wgs,ukb,refined_realignment_rescue,indel,90,4,153,0.9574468085106383,0.37037037037037035,0.5341246290801187
hg008_wgs,ukb,refined_realignment_rescue,records,500,23,169,0.9560229445506692,0.7473841554559043,0.8389261744966442
hg008_wgs,medexome,refined_realignment_rescue,snp,135,4,19,0.9712230215827338,0.8766233766233766,0.9215017064846416
hg008_wgs,medexome,refined_realignment_rescue,indel,17,0,41,1,0.29310344827586204,0.4533333333333333
hg008_wgs,medexome,refined_realignment_rescue,records,152,4,59,0.9743589743589743,0.7203791469194313,0.8283378746594006
hg008_wgs,ukb,workflow_realignment_rescue,snp,410,111,20,0.7869481765834933,0.9534883720930233,0.8622502628811777
hg008_wgs,ukb,workflow_realignment_rescue,indel,81,2,162,0.9759036144578314,0.3333333333333333,0.4969325153374233
hg008_wgs,ukb,workflow_realignment_rescue,records,491,113,178,0.8129139072847682,0.7339312406576981,0.7714061272584446
hg008_wgs,medexome,workflow_realignment_rescue,snp,136,28,18,0.8292682926829268,0.8831168831168831,0.8553459119496856
hg008_wgs,medexome,workflow_realignment_rescue,indel,17,0,41,1,0.29310344827586204,0.4533333333333333
hg008_wgs,medexome,workflow_realignment_rescue,records,153,28,58,0.8453038674033149,0.7251184834123223,0.7806122448979591
